SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3406 W 94th St,Cleveland,OH,44102,169900,4,2,E R Cowins West 95th Street S,2048,4094,1920,20,83,,Active,,,https://www.redfin.com/OH/Cleveland/3406-W-94th-St-44102/home/70740625,Yes-MLS,4448167,N,Y,41.4610508,-81.7477429
MLS Listing,,Single Family Residential,3337 W 50 St,Cleveland,OH,44102,92000,4,1,Cleveland,1700,5009,1900,20,54,,Active,,,https://www.redfin.com/OH/Cleveland/3337-W-50th-St-44102/home/66152608,Yes-MLS,4440733,N,Y,41.4630708,-81.720941
MLS Listing,,Multi-Family (2-4 Unit),1947-1949 W 58th St,Cleveland,OH,44102,444900,6,3,Cleveland,2792,5005,1920,20,159,,Active,,,https://www.redfin.com/OH/Cleveland/1947-W-58th-St-44102/home/184189474,Yes-MLS,4434050,N,Y,41.478612,-81.7261474
MLS Listing,,Multi-Family (2-4 Unit),7612 Dudley Ave,Cleveland,OH,44102,95000,3,2,James M Hoyts Sub,1616,3781,1887,20,59,,Active,,,https://www.redfin.com/OH/Cleveland/7612-Dudley-Ave-44102/home/66589309,Yes-MLS,4447935,N,Y,41.4752634,-81.7380406
MLS Listing,,Single Family Residential,3318 W 95 St,Cleveland,OH,44102,139000,3,2,Cleveland,1418,5662,1910,21,98,,Active,,,https://www.redfin.com/OH/Cleveland/3318-W-95th-St-44102/home/70740702,Yes-MLS,4447771,N,Y,41.4635389,-81.7489831
MLS Listing,,Multi-Family (2-4 Unit),3127 W 70th St,Cleveland,OH,44102,129900,4,2,Cleveland,2116,3920,1900,22,61,,Active,,,https://www.redfin.com/OH/Cleveland/3127-W-70th-St-44102/home/66568270,Yes-MLS,4447020,N,Y,41.4687512,-81.732994
MLS Listing,,Single Family Residential,2097 W 89th St,Cleveland,OH,44102,134900,3,1.5,Cleveland,,,1923,23,,,Active,,,https://www.redfin.com/OH/Cleveland/2097-W-89th-St-44102/home/70724529,Yes-MLS,4447214,N,Y,41.4743924,-81.7449655
MLS Listing,,Multi-Family (2-4 Unit),3119 W 68th St,Cleveland,OH,44102,79900,6,2,Hoyt,1959,3659,1890,26,41,,Active,,,https://www.redfin.com/OH/Cleveland/3119-W-68th-St-44102/home/66565818,Yes-MLS,4446710,N,Y,41.469003,-81.7319377
MLS Listing,,Single Family Residential,1950 W 47th St,Cleveland,OH,44102,355000,3,2.5,Benedict & Root,2862,3959,1910,26,124,,Active,,,https://www.redfin.com/OH/Cleveland/1950-W-47th-St-44102/home/66475413,Yes-MLS,4446712,N,Y,41.4797506,-81.7191452
MLS Listing,,Multi-Family (2-4 Unit),1982 W 54th St,Cleveland,OH,44102,445000,6,4,Benedict & Root,3088,7980,1900,27,144,,Active,,,https://www.redfin.com/OH/Cleveland/1982-W-54th-St-44102/home/66567650,Yes-MLS,4446667,N,Y,41.4772729,-81.724161
MLS Listing,,Multi-Family (2-4 Unit),3433 W 95th St,Cleveland,OH,44102,111000,2,2,West 95th Street Sub/ E R Cowi,,4364,1920,27,,,Active,,,https://www.redfin.com/OH/Cleveland/3433-W-95th-St-44102/home/66572658,Yes-MLS,4446460,N,Y,41.4603207,-81.7482982
MLS Listing,,Multi-Family (2-4 Unit),7222 Brinsmade Ave,Cleveland,OH,44102,98500,8,4,Cleveland,3552,5100,1918,27,28,,Active,,,https://www.redfin.com/OH/Cleveland/7222-Brinsmade-Ave-44102/home/66571995,Yes-MLS,4445931,N,Y,41.4671213,-81.7365981
MLS Listing,,Single Family Residential,7903 Elton Ave,Cleveland,OH,44102,70000,2,1,James M Hoyt,1000,4408,1915,30,70,,Active,,,https://www.redfin.com/OH/Cleveland/7903-Elton-Ave-44102/home/66126408,Yes-MLS,4445720,N,Y,41.4733768,-81.7394111
MLS Listing,,Single Family Residential,5821 Frontier Ave,Cleveland,OH,44102,100000,3,1,J H Sargents Allotment,784,2413,1952,31,128,,Active,,,https://www.redfin.com/OH/Cleveland/5821-Frontier-Ave-44102/home/70737874,Yes-MLS,4445278,N,Y,41.4675522,-81.726422
MLS Listing,,Condo/Co-op,1401 W 75th St Unit D,Cleveland,OH,44102,176000,1,1,City Savings & Loan Condo,1416,,1920,31,124,275,Active,,,https://www.redfin.com/OH/Cleveland/1401-W-75th-St-44102/unit-D/home/66207434,Yes-MLS,4445621,N,Y,41.4821116,-81.7365841
MLS Listing,,Multi-Family (2-4 Unit),1420 W 75th St,Cleveland,OH,44102,535000,8,4,W A Poyers Sub,5060,3937,1910,31,106,,Active,,,https://www.redfin.com/OH/Cleveland/1420-W-75th-St-44102/home/70720370,Yes-MLS,4445352,N,Y,41.4817102,-81.737008
MLS Listing,,Condo/Co-op,1234 W 73 St,Cleveland,OH,44102,544900,2,2.5,PARK PLACE AT BATTERY PARK,1880,,2022,33,290,222,Active,,,https://www.redfin.com/OH/Cleveland/1234-W-73rd-St-44102/home/179788273,Yes-MLS,4359818,N,Y,41.4870304,-81.7347747
MLS Listing,,Single Family Residential,1902 W 50th St,Cleveland,OH,44102,429900,3,2.5,Cleveland,1303,3959,2023,35,330,,Active,,,https://www.redfin.com/OH/Cleveland/1902-W-50th-St-44102/home/66576537,Yes-MLS,4444912,N,Y,41.4801124,-81.7214514
